"","person_id","case_number"
"1",1,"09083797TI30A"
"2",1,"09098832TI20A"
"3",1,"13009443TI30A"
"4",1,"13011352CF10A"
"5",1,"13068564TI20A"
"6",1,"14014411TI20A"
"7",3,"13001275CF10A"
"8",3,"13009779CF10A"
"9",4,"09024308TI20A"
"10",4,"09057909TI20A"
"11",4,"11020953CF10A"
"12",4,"12017635CF10A"
"13",4,"12019341TI20A"
"14",4,"12074993TI30A"
"15",4,"13002653MM10A"
"16",4,"13004375TC10A"
"17",4,"13005330CF10A"
"18",4,"13010663CF10A"
"19",4,"13011511MM10A"
"20",4,"14012120TC10A"
"21",4,"16000322MM10A"
"22",4,"16000754MM20A"
"23",5,"07044823TC20A"
"24",5,"11041453TI10A"
"25",5,"13000570CF10A"
"26",5,"13006228MM10A"
"27",5,"13020133TI10A"
"28",5,"14015040TI10A"
"29",7,"13022355MM10A"
"30",8,"01011788CF10A"
"31",8,"01013362CF10A"
"32",8,"01019151CF10A"
"33",8,"02005960CF10B"
"34",8,"02014623MM10A"
"35",8,"05109941TI30A"
"36",8,"10017458CF10A"
"37",8,"14002304CF10A"
"38",8,"14002446CF10A"
"39",8,"14004485CF10A"
"40",8,"14004810TI40A"
"41",8,"14004837MM10A"
"42",8,"16001074MM10A"
"43",8,"16003067CF10A"
"44",8,"93013445CF10A"
"45",8,"94014535CF10A"
"46",8,"95010713CF10A"
"47",8,"98003548CF10A"
"48",8,"98017365CF10A"
"49",8,"98018370CF10A"
"50",9,"02029354MM10A"
"51",9,"03015284CF10A"
"52",9,"07006945MM10A"
"53",9,"11027960MM10A"
"54",9,"11039373TI40A"
"55",9,"12107077TI30A"
"56",9,"12107078TI30A"
"57",9,"12107079TI30A"
"58",9,"12107080TI30A"
"59",9,"12107081TI30A"
"60",9,"13010654TI30A"
"61",9,"13010655TI30A"
"62",9,"13010656TI30A"
"63",9,"13012216CF10A"
"64",10,"14004524MM10A"
"65",11,"11037238TI20A"
"66",11,"13016981CF10A"
"67",12,"14012075CF10A"
"68",13,"12075904TC40A"
"69",13,"13000017CF10A"
"70",13,"15000258CF10A"
"71",13,"15002891MM10A"
"72",13,"15007738CF10A"
"73",13,"15055830TI30A"
"74",14,"09064770TI30A"
"75",14,"11085222TI20A"
"76",14,"13016402CF10A"
"77",15,"11012741MM10A"
"78",15,"11025164MM10A"
"79",15,"12040062TC10A"
"80",15,"13018837MM10A"
"81",15,"14010414TC40A"
"82",15,"15050153NI20A"
"83",15,"15053063NI20A"
"84",15,"15053064NI20A"
"85",16,"11003593TI40A"
"86",16,"13000053MM10A"
"87",17,"13064333TI20A"
"88",17,"14011646MM10A"
"89",18,"13014121CF10A"
"90",18,"14031534TI40A"
"91",19,"12000212CF10A"
"92",19,"14007704CF10A"
"93",19,"14008936MM10A"
"94",20,"05001304TI10A"
"95",20,"05083738TI20A"
"96",20,"08000433CF10A"
"97",20,"08033213TC10A"
"98",20,"09079245TI30A"
"99",20,"10009499MO10A"
"100",20,"10010170TI10A"
"101",20,"10011678CF10A"
"102",20,"10055817TC10A"
"103",20,"12054024TI20A"
"104",20,"14001005MM20A"
"105",20,"14004186CF10A"
"106",20,"14004423TI40A"
"107",20,"14005427TI20A"
"108",20,"14006658MM10A"
"109",20,"14009921MM10A"
"110",21,"14005100MM10A"
"111",21,"97096593TI20A"
"112",21,"98029670TI10A"
"113",22,"08021697MO10A"
"114",22,"08022418CF10A"
"115",22,"09026847MM10A"
"116",22,"12001646MM20A"
"117",22,"13017598CF10A"
"118",22,"16000988TI20A"
"119",22,"16005615TI30A"
"120",23,"03013663MM10A"
"121",23,"05039631TI10A"
"122",23,"06014348MM10A"
"123",23,"07001755CF10A"
"124",23,"07006485CF10A"
